Όνομα Πηγής,Συγγραφέας/είς,Σύνδεσμος,Πηγή
Diverse projection ensembles for distributional reinforcement learning,"M. A. Zanger, W. Böhmer, M. T. J. Spaan",https://doi.org/10.4233/uuid:310f94fd-d818-4c23-ba1f-bfff87ca5ec4 (link),1
Contextual similarity distillation: Ensemble uncertainties with a single model,"M. A. Zanger, P. R. Van der Vaart, W. Böhmer, M. T. J. Spaan",https://doi.org/10.4233/uuid:310f94fd-d818-4c23-ba1f-bfff87ca5ec4 (link),1
Universal value-function uncertainties,"M. A. Zanger, M. Weltevrede, Y. Oren, P. R. Van der Vaart, C. Horsch, W. Böhmer, M. T. J. Spaan",https://doi.org/10.4233/uuid:310f94fd-d818-4c23-ba1f-bfff87ca5ec4 (link),1
